[2024-12-17 15:37:44] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-17 15:37:44] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-12-17 15:37:44] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2024-12-17 15:37:46] [class-ss-archive-creation-job.php:172] Current task: setup
[2024-12-17 15:37:46] [class-ss-archive-creation-job.php:182] Performing task: setup
[2024-12-17 15:37:46] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-12-17 15:37:46] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\Freaky-Font/wp-content/uploads\simply-static\temp-files/simply-static-1-1734449864\
[2024-12-17 15:37:46] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/Freaky-Font/
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/admin.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/admin.min.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/admin.min.js.LICENSE.txt
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-admin.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-admin.min.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-admin.min.js.LICENSE.txt
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-gutenberg.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-gutenberg.min.js
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-gutenberg.min.js.LICENSE.txt
[2024-12-17 15:37:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-layout.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-layout.min.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-layout.min.js.LICENSE.txt
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-media-library.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-media-library.min.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-media-library.min.js.LICENSE.txt
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-unify-product-images.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-unify-product-images.min.js
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai-unify-product-images.min.js.LICENSE.txt
[2024-12-17 15:37:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai.min.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/ai.min.js.LICENSE.txt
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/alert.0f08bb619b34118d5723.bundle.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/alert.85807a41381e8ed665b0.bundle.min.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/announcements-app.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/announcements-app.min.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/announcements-app.min.js.LICENSE.txt
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app-loader.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app-loader.min.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app-packages.js
[2024-12-17 15:37:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app-packages.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app-packages.min.js.LICENSE.txt
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/app.min.js.LICENSE.txt
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/atomic-widgets-editor.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/atomic-widgets-editor.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/beta-tester.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/beta-tester.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/c4dcba54ff9219690f00.bundle.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/checklist.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/checklist.min.js
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/checklist.min.js.LICENSE.txt
[2024-12-17 15:37:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/common-modules.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/common-modules.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/common.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/common.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/common.min.js.LICENSE.txt
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/contact-buttons.053809f7205bf7bb476d.bundle.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/contact-buttons.c953d1cdf362b19a9f7d.bundle.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/container-converter.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/container-converter.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/container.5fec4cc7e93888371208.bundle.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/container.7bbfb10dea9b7c487356.bundle.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/counter.4376b4ff7a0ac7960ece.bundle.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/counter.b8a75ad37ae3164105fe.bundle.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/dev-tools.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/dev-tools.min.js
[2024-12-17 15:38:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-home-screen.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-home-screen.min.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-react-promotions.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-react-promotions.min.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-wc-product-editor.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-wc-product-editor.min.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/e-wc-product-editor.min.js.LICENSE.txt
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-document.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-document.min.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-environment-v2.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-environment-v2.min.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-loader-v1.js
[2024-12-17 15:38:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-loader-v1.min.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-loader-v2.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-loader-v2.min.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-modules.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-modules.min.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-modules.min.js.LICENSE.txt
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-notifications.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-notifications.min.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor-notifications.min.js.LICENSE.txt
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor.min.js
[2024-12-17 15:38:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/editor.min.js.LICENSE.txt
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/element-manager-admin.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/element-manager-admin.min.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/element-manager-admin.min.js.LICENSE.txt
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/elementor-admin-bar.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/elementor-admin-bar.min.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/f75dc05bac1a6892309b.bundle.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/fe1f62efe8b83270a88c.bundle.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/floating-bars.36ca31bf23004404adcb.bundle.min.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/floating-bars.d7a4725c8d2b0c4da40a.bundle.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/floating-elements-modal.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/floating-elements-modal.min.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/frontend-modules.js
[2024-12-17 15:38:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/frontend-modules.min.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/frontend.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/frontend.min.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/gutenberg.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/gutenberg.min.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/image-carousel.6b6cc9be9f264358e60f.bundle.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/image-carousel.78b881f3c7818111c2d7.bundle.min.js
[2024-12-17 15:38:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/import-export-admin.js
[2024-12-17 15:38:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/import-export-admin.min.js
[2024-12-17 15:38:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/kit-elements-defaults-editor.js
[2024-12-17 15:38:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/kit-elements-defaults-editor.min.js
[2024-12-17 15:38:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/kit-elements-defaults-editor.min.js.LICENSE.txt
[2024-12-17 15:38:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/kit-library.09cb71ec3fbb128f4e25.bundle.min.js
[2024-12-17 15:38:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/kit-library.b0f0ab89c95fe1f6fde3.bundle.js
[2024-12-17 15:38:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/lightbox.02f75f989ef2fbab5147.bundle.min.js
[2024-12-17 15:38:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/lightbox.796e05223323a487677f.bundle.js
[2024-12-17 15:38:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/media-hints.js
[2024-12-17 15:38:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/media-hints.min.js
[2024-12-17 15:38:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-accordion.8ffbe570eaae9c632dc1.bundle.min.js
[2024-12-17 15:38:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-accordion.b15477b3c5d0de743d83.bundle.js
[2024-12-17 15:38:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-accordion.js
[2024-12-17 15:38:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-accordion.min.js
[2024-12-17 15:38:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-accordion.min.js.LICENSE.txt
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-elements.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-elements.min.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-tabs.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-tabs.min.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-tabs.min.js.LICENSE.txt
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-title-keyboard-handler.451fba615fad42703872.bundle.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/nested-title-keyboard-handler.c422f773dbaaaf247990.bundle.min.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/new-template.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/new-template.min.js
[2024-12-17 15:38:08] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/notes.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/notes.min.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/onboarding.120a44527e5a7209a8e4.bundle.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/onboarding.cb1850dab52d5cd9ce5b.bundle.min.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor/editor.asset.php
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor/editor.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor/editor.js.LICENSE.txt
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor/editor.min.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor/editor.strings.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-app-bar/editor-app-bar.asset.php
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-app-bar/editor-app-bar.js
[2024-12-17 15:38:09] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-app-bar/editor-app-bar.js.LICENSE.txt
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-app-bar/editor-app-bar.min.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-app-bar/editor-app-bar.strings.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-documents/editor-documents.asset.php
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-documents/editor-documents.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-documents/editor-documents.js.LICENSE.txt
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-documents/editor-documents.min.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-documents/editor-documents.strings.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-editing-panel/editor-editing-panel.asset.php
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-editing-panel/editor-editing-panel.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-editing-panel/editor-editing-panel.js.LICENSE.txt
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-editing-panel/editor-editing-panel.min.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-editing-panel/editor-editing-panel.strings.js
[2024-12-17 15:38:10] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/Freaky-Font/wp-content/plugins/elementor/assets/js/packages/editor-panels/editor-panels.asset.php
